start_date,summary,latitude,longitude
1/22/12,"Suspected LRA attacked and looted Mangwa, DRC. The combatants reportedly abducted 6 children and injured a woman.",3.3666667,28.4833333
12/14/12,"6 suspected and armed LRA men attacked Sirigi, DRC, and abducted 4 Congolese men and a 12-year-old child. The assailants also looted, cassava flour, paddy, beer, clothes, and other goods. Civilians fled toward Tomati, DRC.",3.3753,29.5506
2/9/13,"On February 9th, 2013, suspected LRA forces ambushed 3 men on bikes in the area of Sirigi, DRC, and looted their possessions.",3.3753,29.5506
2/11/13,"On February 11th, 2013, 4 men and 3 women suspected LRA forces looted food and non-food items in Sirigi, DRC.",3.3753,29.5506
2/16/13,"On February 16th, 2013, suspected LRA forces looted a civilian on a bike around Sirigi, DRC.",3.3753,29.5506
12/15/09,"LRA forces killed 10 civilians at Nakiliwa, DRC on December 15th, 2009. The incident was reported as a significant distance west of the Makombo Massacres, however there are still questions surrounding the incident.",3.3877,27.2863
3/17/12,"Armed LRA forces killed 1 man and abducted 2 boys and 1 girl from the Garantie quarter near Tomati, DRC. The combatants also looted 9 houses in the attack.",3.3924,29.5956
1/10/09,"This is part of the Christmas Massacres. LRA forces attacked Tomati, DRC between January 10 and 11th, 2009, killing 30 people.",3.3956,29.5857
4/12/10,"On April 12th, 2010, LRA forces attempted to attack Tomati, DRC but security forces fought them off and recovered 1 abducted child.",3.3956,29.5857
3/15/12,"LRA forces abducted 2 children near Tomati, DRC.",3.3956,29.5857
3/18/12,"2 men escaped from LRA captivity during a clash with security forces near Tomati, DRC.",3.3956,29.5857
3/18/12,"2 children, abducted by LRA forces on March 15th, escaped from captivity near Tomati, DRC.",3.3956,29.5857
12/14/12,"2 Congolese adults and 2 Congolese children were abducted by 5 suspected LRA men who were armed. The abduction took place in Matahi, DRC, which is near Tomati. The assailants also looted various household items and peanuts.",3.3956,29.5857
1/22/13,"The 2 men abducted by 7 LRA forces in Tomati, DRC, were released in an unknown location later that night.",3.3956,29.5857
1/22/13,"7 armed LRA men abducted 2 women and 2 men from their home in Tomati, DRC. This group later also looted a household.",3.3956,29.5857
1/23/13,"The 2 women abducted by 7 LRA forces on January 22nd, 2013, were released in an unknown location the next morning.",3.3956,29.5857
6/20/09,"Security forces clashed with LRA forces near Awago and Kareo, DRC on June 20th, 2009. Between the two clashes, 3 LRA members were killed, 6 others were captured, and 12 civilians were rescued from LRA captivity.",3.3978,29.6578
7/17/13,"At approximately 11:00 PM, 6 LRA forces, including a woman, abducted a 60-year-old man, 14-year-old girl and a 22-year-old woman from an area 2 km east of Sambia, DRC. Unspecified goods were also looted.",3.3998,29.2883
1/8/09,"During the Christmas Massacres, LRA forces killed a total of 256 people in attacks on villages south and west of Faradje, DRC, including Sambia, Akua, Tomate, and Tora.",3.4,29.27
1/8/09,"This is part of the Christmas Massacres, and the first attack on Sambia, DRC. In this attack, LRA forces killed 9 people were killed.",3.4,29.27
1/10/09,"This is part of the Christmas Massacres, and the second attack on Sambia, DRC. LRA forces killed 36 people in Sambia between January 10th and 11th, 2009.",3.4,29.27
6/18/09,"Security forces clashed with LRA forces on June 18th, 2009 near Sambia, DRC. During the clash, 2 abducted persons were rescued.",3.4,29.27
2/27/10,"LRA forces abducted a young girl from Sambia, DRC on February 27th, 2010.",3.4,29.27
3/3/10,"A girl who was abducted from Sambia, DRC, by LRA forces on February 27th, 2010, was able to escape.",3.4,29.27
4/3/10,"9 LRA forces attacked Sambia, DRC, on April 3rd, 2010. Security forces responded. 1 civilian died, 1 abductee was released, and 1 LRA member was killed.",3.4,29.27
4/4/10,"12 people who had been abducted from Sambia, DRC, earlier that day by suspected LRA forces, were rescued by security forces. The date and location of this incident are an approximation.",3.4,29.27
4/4/10,"An estimated 19 LRA members attacked Sambia, DRC, killing 1 civilian, abducting 12 people, and looting homes for several hours. 1 LRA combatant was reported dead.",3.4,29.27
4/6/10,"LRA combatants attacked Sambia, DRC, but were rebuffed by security forces. The result of this attack is unknown.",3.4,29.27
4/7/10,"After the attacks in Sambia, DRC, on April 4th, 2010, security forces pursued the LRA combatants, recovering 12 people who had been abducted. 1 civilian died in the clash.",3.4,29.27
4/11/10,"Security forces and LRA members clashed near Sambia, DRC resulting in the death of 4 LRA.",3.4,29.27
6/18/10,"The presence of LRA forces were reported in Sambia, DRC, on June 18th and 19th, 2010. There were no reports of the activities of this LRA group.",3.4,29.27
6/17/13,"20 suspected LRA forces attacked and looted Sambia, DRC. They fired shots into the and looted unspecified food and non-food items. Security forces returned fire and the assailants fled east. Security forces pursued  them.",3.4,29.27
12/15/09,"50,000 people have fled the Dingba, DRC area as a result of the Makombo Massacre that happened from December 13-14, 2009. Most headed south toward Isiro or Rungu, DRC",3.4079,27.9242
12/19/09,"On December 19th, 2009, a boy was arrested and accused of being an LRA spy by security forces in Dingba, DRC. He turned out to be a former abductee of the LRA.",3.4079,27.9242
6/12/12,"Because of an intervention by security forces, a girl was released from LRA captivity after being abducted in Bangabila, DRC.",3.411667,28.776944
6/12/12,"LRA forces abducted 1 girl in Bangabila, DRC.",3.411667,28.776944
4/11/12,"Suspected LRA released a woman after she was abducted with her husband earlier in the day near Sambia, DRC.",3.4132,29.2829
4/11/12,"A group of suspected LRA abducted a man and his wife 2 kilometers northeast of Sambia, DRC.",3.4132,29.2829
3/21/08,"LRA forces were reported to be in Kitambala, DRC.",3.42719 / 30.33418,
1/7/08,"Around January 7th, 2008, a LRA force defected to security forces somwhere around Palabek, Uganda.",3.4404,32.5846
6/4/09,"2 LRA members surrendered to security forces near Nabanga, DRC, which is near Tapili, DRC.",3.4476,27.6375
12/14/09,"During the Makombo Massacres of December 2009, the LRA killed over 321 people and abducted 250, including at least 80 children.",3.4476,27.6375
12/15/09,"This is the 9th incident in the Makombo Massacres. LRA forces abducted an estimated 185-200 people and looted shops during an attack on Tapili, DRC.",3.4476,27.6375
1/1/10,"7 abductees from the Makombo Massacres, mostly teenagers, attempted to escape. 5 were killed (3M, 2F) and 2 boys made it to safety. As of the day of escape, the LRA had 186 abductees with them. One boy was from Tapili, the escape location is unknown.",3.4476,27.6375
1/16/13,"Suspected LRA forces abducted a man and a woman near Tapili, DRC, between January 16th and 17th.",3.4476,27.6375
1/18/13,"Suspected LRA forces released a man and a woman near Tapili, DRC, 2 days after their abduction. They were released with a letter warning that the LRA would attack the nearby town of Niangara within a few days.",3.4476,27.6375
2/8/12,"Suspected LRA combatants released 4 civilians at Yamba Yamba, DRC on February 8th after they were abducted in Tadu earlier in the day.",3.4505,29.4331
12/15/09,"This is the 8th incident in the Makombo Massacres. A local official & a security force officer left Tapili and traveled towards Ngiribi to investigate the rumors of an LRA attack. The LRA attacked them, gouged out their eyes, and killed them both.",3.456,27.6
7/10/09,"LRA forces attempted to attack civilians in Tadu, DRC on July 10th, 2009. Security forces responded and chased the LRA forces away. 2 LRA members were killed. The LRA forces also looted goods from civilians in the area.",3.4653,29.7024
7/13/09,"Suspected LRA forces tried to attack civilians at Tadu, DRC on July 13th, 2009. Security forces responded and clashed with the LRA. 4 LRA members were killed and 1 was captured.",3.4653,29.7024
12/29/09,"A man who had been abducted by the LRA five days earlier on Dec. 24 was found dead in the village of Ngorovani, DRC which is near Tadu, DRC. This report is being mapped at Tadu, as the coordinates for Ngorovani are not yet known.",3.4653,29.7024
4/13/10,"Security forces arrested a 13-year-old boy for spying for the LRA in Ngorovani, DRC which is 13 kilometers from Tadu, DRC.",3.4653,29.7024
4/13/10,"LRA forces clashed with security forces at Tadu, near Faradje, DRC.",3.4653,29.7024
2/13/11,"2 LRA members attempted to abduct 2 girls collecting water near Tadu, DRC.",3.4653,29.7024
2/8/12,"Suspected LRA combatants abducted 4 civilians on the evening of February 8th, in Tadu, DRC.",3.4653,29.7024
9/8/09,"Security forces attacked the LRA, and as a result 1 abducted woman and 2 children were rescued on September 8th, 2009, near Zamai, DRC.",3.476,26.765
12/15/09,"This is the 7th incident in Makombo Massacres. Ngiribi's population attempted to flee, but many were captured. More than 20 men were killed. One source reported that almost the entire town was captured.",3.48,27.561
1/13/11,"LRA forces robbed 10 merchants from Ariwara in Gangu, DRC. The LRA combatants took all their merchandise, their motorcycle batteries, and left a letter behind for the security forces in the area.",3.48119,29.3177
6/9/09,"Security forces clashed with LRA combatants at the village of Karisia, DRC on June 9th, 2009. 2 children were able to escape from the LRA during the fight.",3.482,29.724
3/11/11,"LRA forces abducted 3 civilians in Gagombe, DRC.",3.49,29.64
1/26/13,"On January 26th, 2013, 2 LRA men and 2 LRA women looted food and non-food items in Kaligba, DRC.",3.492,29.72
1/27/13,"On January 27th, 2013, the same group that had looted Kaligba, DRC, the previous day attacked the same location again and abducted 3 civilians.",3.492,29.72
3/20/13,"15 suspected LRA ambushed 3 men 11 km north of Sambia, DRC. They opened fire on the men as they fled, hitting 1 man in the foot. A small number of security forces arrived, but did not pursue the assailants. Unspecified goods were looted.",3.499,29.2642
12/14/09,This is the 6th incident in the Makombo Massacres. At least 6 people were killed and 1 person raped at this location but there were many more. LRA forces camped in Mangada for the night.,3.5138,27.4765
3/13/10,"As reported on March 13th, 2010, LRA forces were known to be present in the Niangara, DRC area.",3.5138,27.4765
4/13/10,"A woman was attacked by 4 LRA elements in Niangara, DRC. After clasping her lips together with pliers, the LRA combatants forced a 16-year-old Congolese boy, abducted during a previous attack, to slice off her lips and her right ear with a knife.",3.5138,27.4765
4/24/10,"On April 24th, 2010, near Niangara, DRC, 1 young boy was able to escape from LRA captivity.",3.5138,27.4765
5/27/11,"On May 27th, a 15 year-old girl was able to escape from LRA captivity after having been abducted in 2009. She had married a chief of the group in the bush. She is now in Niangara, DRC - over 105 km from Ngilima where she was originally abducted.",3.5138,27.4765
6/16/11,"During the week of June 16th, 2011 it was reported that three suspected LRA forces had been sighted around Niangara, DRC.",3.5138,27.4765
11/21/13,"On November 21, 2013, 6 suspected LRA forces, 2 of which were armed, delivered a message to a woman in Mangada, DRC, staying that they planned to attack the community to avenge their ""friend.""",3.5138,27.4765
10/21/10,"7 LRA members were seen in Gangala Bazekpete, DRC on October 21, 2010. The location of Gangala Bazekpete is a rough estimate.",3.5146,28.2319
6/7/11,"1 suspected LRA member was captured by civilians on the road from Poko to Dingila, DRC on June 7th, 2011. The other members of the suspected LRA member's group were able to flee.",3.521,26.386
11/4/08,"On November 4th, 2008, LRA forces looted the goods of merchants 18 km away from Dungu, DRC.",3.524,28.696
7/11/10,"A woman was severely beaten after resisting an attempted rape by reported LRA elements south of Gaduma-Mala, DRC. She died while in transport to emergency medical services.",3.52644,29.74051
3/15/10,"5 LRA forces robbed a group of civilians traveling along the road from Gangu to Faradje, DRC.",3.5477,29.4602
1/11/10,"Suspected LRA forces attacked civilians near Salawa, DRC, causing the population to flee the area.",3.55186,28.36923
5/21/11,"On May 21st, a woman was killed on her way back from a market in Denge, DRC. Her body was found with several stab wounds on May 23rd.",3.552,28.242
9/16/09,"LRA forces attacked Sabuni, DRC on September 16th, 2009. In the attack, 2 LRA forces were killed and 1 was captured by security forces.",3.5524,29.90071
12/12/09,"LRA forces attacked Sabuni, DRC, abducting 3 adults and looting goods.",3.5524,29.90071
12/14/09,"This is the 5th incident in the Makombo Massacres. The LRA killed many of the people they had abducted. According to those who buried the dead & Human Rights Watch, this was the highest concentration of deaths. 30 people killed is an estimate.",3.56,27.477
1/28/10,"LRA members abducted 4 civilians on January 28th, 2010 in Mburu, DRC.",3.568,27.008
5/1/11,"A combined total of 22 civilians were abducted by suspected LRA forces in attacks on Bamundanga, Lolo, Balipio and Mulundu, DRC, during the month of May 2011.",3.58,25.52
1/21/10,"On January 21st, 2010, a man was killed while travelling on the road from Ngilima to Dungu in DRC by alleged LRA forces.",3.582982,28.4618
6/18/09,"Security forces clashed with LRA forces at Kareo, DRC. During the clash, 2 abducted persons were rescued.",3.5912,29.8404
6/20/09,"Security forces clashed with LRA forces near Awago and Kareo, DRC on June 20th, 2009. Between the two clashes, 3 LRA members were killed, 6 others were captured, and 12 civilians were rescued from LRA captivity.",3.5912,29.8404
6/24/09,"Security forces and LRA forces clashed at Kareo, DRC. 1 LRA member was killed and 1 abducted person was freed by security forces.",3.5912,29.8404
8/7/09,"LRA forces abducted 1 civilian 80 km east of Dungu, DRC, which is near Gangala Na Bodio, DRC.",3.594,29.224
7/25/11,"A 13-year-old boy escaped from LRA captivity during a clash with regional security forces and escaped to Limolo, which is south of Bangadi, DRC, during the week of July 25, 2011.",3.597,27.925
11/1/09,"LRA forces clashed with security forces in the week before November 8th, 2009 west of Dingila, DRC.",3.598,26.521
1/17/11,"A woman who had been with LRA forces for 9 years (since 2002) was released with her 2 very young children who were both fathered by LRA commanders. She was released from LRA captivity near Dungu, DRC.",3.5993,28.5538
7/25/13,"Security forces spotted a group of 12 LRA, who were in search of food, 90 km east of Dungu along the Dungu-Faradje road in the DRC. The two groups exchanged fire during which a 12-year-old Congolese boy was able to escape from his captors.",3.6053,29.2277
3/1/08,"As reported in Dungu, DRC, 1 Congolese and 1 Central African national escaped from the LRA sometime in early March 2008. They estimate the LRA to be about 1200 strong - including dependents - and to hold 120 abductees.",3.60675,28.56441
4/23/08,"As reported on April 23rd, 2008, a large group of LRA forces coming from CAR looted Dungu, DRC, causing the population to flee to the forest.",3.60675,28.56441
7/25/08,"3 armed soldiers who had been with the LRA for over 3 years defected in Dungu, DRC, between July 25th and 26th, 2008.",3.60675,28.56441
9/1/08,"Between September and November 2008, LRA forces killed a total of at least 176 civilians, abducted at least 316 children, and abducted dozens of adults for porters and guides in Haut Uele Province of DRC. They also displaced 17,000 people.",3.60675,28.56441
11/1/08,"LRA forces attacked the market in the town of Dungu, DRC, killing, abducting, looting and burning property. 2 people were killed, and at least 27 civilians were abducted. Security forces attempted to chase the LRA off by firing into the air.",3.60675,28.56441
11/7/08,"On November 7th, 2008, 14 civilians arrived in Dungu, DRC, after being released by the LRA a day before. They had all been abducted during the November 1st, 2008, attack on Dungu. Reportedly 80 civilians were still held by the LRA in Garamba NP.",3.60675,28.56441
12/22/08,"LRA forces abducted a Congolese child and at least 3 men who were fishing near the Dungu River in the DRC on December 22nd, 2008. The exact location of this incident is unknown.",3.60675,28.56441
3/12/09,"1 boy escaped from LRA forces and fled to Dungu, DRC.",3.60675,28.56441
12/15/09,"During the Christmas Massacres, LRA forces killed at least 62 civilians in communities west of Dungu, DRC.",3.60675,28.56441
1/1/10,"Between January 1st and 4th, 2010, LRA forces attacked a number of communities in Haut Uele DRC near Dungu, Ngilima, and Bangadi. Attacks included abductions and killings of civilians, burning of houses, and injury to 2 security forces.",3.60675,28.56441
1/8/10,"Security forces took 2 suspected LRA members into custody after the suspected LRA members attempted an abduction in Dungu, DRC on January 8th, 2010.",3.60675,28.56441
1/13/10,"After 8 LRA members attacked Dungu, DRC on January 10th, 2010, security forces responded and engaged. In the course of this clash 3 civilians were killed and 4 wounded.",3.60675,28.56441
1/14/10,"On January 14th, 2010, suspected LRA forces  abducted 2 civlians on the road to Duru within Dungu, DRC. There might have also been civilian fatalities, but this is unconfirmed.",3.60675,28.56441
1/22/10,"A woman was rescued from LRA captivity by unknown means by security forces in Dungu, DRC, on January 22, 2010.",3.60675,28.56441
1/24/10,"LRA forces and security forces fought just outside of Dungu, DRC, resulting in the death of 4 LRA members, the release of 5 abductees, and the capture of 2 LRA members.",3.60675,28.56441
2/6/10,"A clash between LRA forces and security forces occurred on February 6th, 2010 near Dungu, DRC.",3.60675,28.56441
3/9/10,"LRA members abducted 1 civilian on March 9th, 2010 near Dungu, DRC. He was later released.",3.60675,28.56441
3/9/10,"LRA forces released 1 abducted civilian near Dungu, DRC on March 9th, 2010. GPS approximate.",3.60675,28.56441
3/26/10,"Several LRA combatants were spotted near the Uele river in Dungu, DRC.",3.60675,28.56441
1/30/11,"2 Congolese girls were abducted by LRA forces near Dungu, DRC.",3.60675,28.56441
8/24/12,"A Congolese male of unknown age escaped from LRA forces and fled to Dungu, DRC.",3.60675,28.56441
5/14/13,"An LRA member defected in Dungu, DRC.",3.60675,28.56441
4/8/10,"LRA forces attacked a civilian on the road to Faradje, DRC.",3.6086,29.1818
12/14/09,"This is the 4th incident in the Makombo Massacres. The LRA moved onto Makombo, DRC, and abducted dozens of people, including 3 children in their teens. The total abducted is unknown.",3.6094,27.4734
2/1/11,"Along the road near Gbaga, DRC, a sizable group of LRA attacked a truck killing 1 person, wounding 2, and abducting 15. They proceeded to loot the contents of the truck.",3.6162,28.1586
2/1/11,"LRA forces entered the small town of Gbaga, DRC, on the night of January 31st, 2011, and attacked the civilian population-- they killed 2, wounded 3 and abducted 1. The LRA  forces then looted the community and burned a lorry.",3.6162,28.1586
4/14/13,7 LRA forces ambushed a truck near the Nangume river along the Dungu-Faradje road in the DRC. The assailants shot and wounded 2 men before looting their goods. Many more LRA were seen just off the road. 2 motorcyclists were looted and a 2nd truck shot at.,3.6176,29.2688
4/16/13,"3 armed LRA forces accompanied by several boys looted a truck along the Dungu-Faradje road in the DRC. The assailants looted a tarp, money, bread, and the clothes of the driver. The boys carried the looted goods. The LRA group moved north after the attack",3.6176,29.2688
6/12/11,"Suspected LRA forces attacked 3 civilians along the Dungu-Faradje road in the DRC on June 12th, 2011. 1 civilian was killed, 1 civilian was abducted, and the other was still missing at the time of the report. Their goods were also looted.",3.62,29.248
5/23/09,"Suspected LRA forces killed 1 civilian and burned down 20 homes in Bamokandi, DRC near Dungu in the night from May 23rd to the 24th, 2009.
The locals fled the village.",3.62037,28.5799
9/14/09,"Suspected LRA forces were sighted outside of Bamokandi, DRC on September 14th, 2009. There are no other details.",3.62037,28.5799
12/11/09,"3 LRA members injured 2 women in Bamokandi, DRC.",3.62037,28.5799
12/24/09,"LRA forces were reportedly seen near in Bamokandi, DRC on December 24th, 2009.",3.62037,28.5799
12/26/09,"2 suspected LRA members attacked villagers in Bamokandi, DRC.",3.62037,28.5799
1/6/10,"LRA forces were sighted near Bamokandi, DRC.",3.62037,28.5799
1/11/10,"LRA forces attacked Bamokandi, DRC, forcing it's citizens to flee. Security forces engaged the LRA and 3 civilians were wounded during the battle.",3.62037,28.5799
1/13/10,"In an attack on Bamokandi quarter in Dungu, DRC 8 well-armed LRA forces killed 5 civilians and wounded 2 more. Additionally, the LRA fighters engaged with regional security forces and were chased off.",3.62037,28.5799
1/14/10,"During a clash between security forces and LRA forces on January 14th, 2010 in Bamokandi, DRC, an LRA abductee who had been abducted 2 days earlier was able to escape. There are no other details surrounding the clash.",3.62037,28.5799
3/7/10,"2 LRA members surrendered to security forces at Bamokandi, DRC, on March 7th, 2010.",3.62037,28.5799
3/20/10,"LRA forces abducted 2 civilians and looted goods from Bamokandi, DRC, on March 20th, 2010.",3.62037,28.5799
3/21/10,"LRA forces abducted 1 young man at Bamokandi, DRC on March 21st, 2010.",3.62037,28.5799
3/4/11,"Security forces pursued and engaged 3 LRA who abducted 2 women on March 4th, 2011 in Bamokandi, DRC. In the firefight, 2 LRA members were killed and 1 abducted woman was injured.",3.62037,28.5799
3/4/11,"After a security force clashed with LRA forces near Bamokandi, DRC, 2 young women were able to escape, although 1 was severely wounded.",3.62037,28.5799
3/4/11,"3 LRA soldiers attempted to abduct 3 young women from Bamokandi, DRC, and were successful in abducting 2. Regional security forces pursued them.",3.62037,28.5799
3/21/11,"2 LRA attacked 1 man near Bamokandi, DRC as he was cutting bushes oustide of town on March 21st, 2011. The man was able to fight off the attackers successfully.",3.62037,28.5799
3/7/10,"LRA members released 1 woman near Bamokandi, DRC on March 7th, 2010.",3.6211,28.5814
3/8/12,"A group of 5 LRA, including 4 armed combatants and 1 unarmed woman, abducted 2 civilians and looted both food and non-food items from the community of Nanguakanza, DRC. Because of this attack, approximately 1,300 civilians were displaced.",3.62149,28.6537
3/9/12,"5 LRA members released 2 civilians, who had been abducted on March 8th. The LRA members then looted food from the home of a prominent community member in Nangbalama, DRC.",3.628,28.646
6/10/09,"LRA and security forces clashed at Kpodo, DRC. The results of this conflict are unknown.",3.628,29.713
2/13/11,"LRA combatants attacked the village of Kpodo, DRC resulting in the death of 1 adult.",3.628,29.713
6/19/11,"A group of suspected LRA forces abducted 2 civilians from Kpodo, DRC, on the night between June 19th and 20th, 2011.  Of the 2 victims, a 20-year-old boy was killed, and a 17-year-old girl remained in captivity for one night.",3.628,29.713
6/20/11,"Security forces rescued a 17 year-old girl abducted by suspected LRA forces from Kpodo, DRC. The security forces and LRA forces exchanged fire.",3.628,29.713
6/20/11,"Suspected LRA forces killed a 20 year old man, and abducted a 17 year old girl at Kpodo, DRC on June 20th, 2011.",3.628,29.713
6/20/11,"A 17-year-old girl, who had been abducted the day before by suspected LRA forces, was rescued by regional security forces on June 20, 2011, near Kpodo, DRC.",3.628,29.713
7/26/13,"Security forces captured an LRA member in Kpodo, DRC.",3.628,29.713
11/17/08,"As reported on November 17th, 2008, an unknown number of LRA forces were sighted in Mawese, which is 36 km away from Gangala na Bodio, DRC.",3.6281,29.1575
12/15/09,"This is the 10th incident in the Makombo Massacres. LRA forces met on a road outside of Kiliwa, DRC. According to Human Rights Watch, the abductees were forced to watch LRA commanders rape at least 7 girls, some as young as 11.",3.629,27.414
3/10/12,LRA forces clashed with security forces who were on patrol along the Dungu-Faradje road in the DRC. 2 LRA were killed and their rifles recovered.,3.62971,28.66329
6/1/09,"LRA forces killed 1 person at Amadi, DRC, during the month of June in 2009.",3.63,26.766
3/29/10,"LRA forces abducted 2 motorcyclists in Amadi, DRC.",3.63,26.766
8/11/11,"During the week of August 11th, a teenage girl escaped from LRA forces near Amadi, DRC, after 9 months in captivity.",3.63,26.766
2/23/12,"Security forces arrested an LRA element near the Uele River. He is reportedly of Ugandan nationality, and speaks a number of different languages. He is currently with security forces in Amadi, DRC.",3.6302,26.7789
8/2/08,"LRA forces were reportedly seen in Nyangwa Kawa, DRC between August 2nd and 8th, 2008.",3.6304,28.6567
3/13/13,"On March 13th, 2013, along the Dungu-Faradje road, a large group of suspected LRA forces including men, women and children, ambushed 3 civilians on motorcycles, looting bags of peanuts and their motorcycle batteries. The assailants then headed north.",3.6325,29.2813
3/3/09,"LRA forces abducted 6 civilians from communities near Dungu, DRC. The specific locations are unknown.",3.634,28.828
3/17/11,"On March 17th, 2011, LRA forces ambushed two traders near Wando, DRC, looting their goods. One man is still missing after the attacks, but it is not clear if he was abducted.",3.634,29.1666
2/21/11,"A group of 10 LRA attacked a vehicle carrying 3 passengers. As a result all the goods were looted, 1 passenger was killed, 1 injured, and 1 abducted. This attack happened southeast of Wando, DRC.",3.634,29.277
2/4/11,"LRA forces attacked a truck carrying civilians, killing a 9-year-old girl and injuring a 19-year-old man and 27-year-old woman. The attack took place east of Gangala na Bodio, DRC, on the Faradje-Dungu road.",3.6343,29.2827
3/28/13,"The 3 men who were abducted by 10 LRA forces the night before, were forced to help loot a truck as it was traveling along the Dungu-Faradje road, 18 km east of Gangala na Bodio, DRC. The looting took place at 16:30.",3.6344,29.2826
5/29/13,"Suspected LRA forces, led by a man with one eye, attacked a truck 18 km east of Gangala na Bodio, DRC. They looted various food and non-food items and abducted the driver and his assistant, aged 46 and 22, to carry the goods.",3.6361,29.2866
4/22/10,"A group of 5 LRA forces were spotted near Bagulupo, DRC.",3.637,29.022
6/6/11,"On June 6th, 2011, a group of about 30 suspected LRA attacked Bagulupo, DRC and looted about ten households.",3.637,29.022
6/8/11,"The LRA attacked and looted Bagulupo, DRC a second time in the same week on June 8th, 2011.",3.637,29.022
2/10/12,"5 LRA men looted food and medicine from a small health care center and abducted a man and his wife to act as carriers of the looted goods. This happened east of Dungu in Bagulupa, DRC.",3.637,29.022
2/10/12,"LRA  forces released a woman abducted from Bagulupa, DRC. She had been abducted to carry looted goods; her husband was not released as he had been killed while in captivity.",3.637,29.022
2/10/12,"LRA forces stabbed a man to death after he fell while carrying two sacks of flour and corn near the Dungu river at Bagulupa, DRC. Earlier in the day the man had been abducted with his wife.",3.637,29.022
2/17/12,"Around 20 heavily armed LRA forces attacked Bagulupa, DRC abducting 1 man and looting food items from the town. Among the LRA forces were 7 women and 3 children.",3.637,29.022
2/23/12,"2 civilians, abducted earlier in the evening from Bagulupa, DRC by the LRA, escaped unharmed.",3.637,29.022
2/23/12,"Overnight, roughly 40 LRA attacked Bagulupa, DRC. 3 people were abducted, and the LRA looted food and clothes from the community.",3.637,29.022
1/13/10,"After LRA forces attacked the village of Napusi, DRC on January 13th, 2010, security forces pursued and clashed with the LRA.",3.63892,28.58046
